study_id,first_author,year,study_type,biomarker_name,n_studies,n_participants,biomaterial,analytical_method,sensitivity,sensitivity_ci_lower,sensitivity_ci_upper,specificity,specificity_ci_lower,specificity_ci_upper,auc,auc_ci_lower,auc_ci_upper,dor,lr_positive,lr_negative,evidence_level,quality_score,n_patients,n_controls,age_range,conditions,cutoff,p_value,fold_change,median_patients,median_controls,sensitivity_range_min,sensitivity_range_max,specificity_range_min,specificity_range_max,auc_range_min,auc_range_max,significant_studies
LIN2020_META,Lin Y,2020,Meta-analysis,FGF-21,5.0,718.0,Serum,ELISA,71.0,53.0,84.0,88.0,82.0,93.0,0.9,0.87,0.92,18.0,6.1,0.33,Meta-analysis,9.5,,,,,,,,,,,,,,,,
LIN2020_META,Lin Y,2020,Meta-analysis,GDF-15,7.0,845.0,Serum,ELISA,83.0,65.0,92.0,92.0,84.0,96.0,0.94,0.92,0.96,52.0,9.9,0.19,Meta-analysis,9.5,,,,,,,,,,,,,,,,
MARESCA2020,Maresca A,2020,Prospective cohort,ccf-mtDNA,,,Plasma,qPCR,,,,,,,,,,,,,Individual study,8.5,123.0,Not specified,Mixed pediatric and adult,"MELAS, MERRF, LHON, CPEO, other mitochondrial diseases",,<0.01,Significantly elevated,,,,,,,,,
MARESCA2020,Maresca A,2020,Prospective cohort,FGF-21,,,Serum,ELISA,,,,,,,,,,,,,Individual study,8.5,123.0,Not specified,Mixed pediatric and adult,"MELAS, MERRF, LHON, CPEO, other mitochondrial diseases",,,Significantly elevated,,,,,,,,,
MARESCA2020,Maresca A,2020,Prospective cohort,GDF-15,,,Serum,ELISA,,,,,,,,,,,,,Individual study,8.5,123.0,Not specified,Mixed pediatric and adult,"MELAS, MERRF, LHON, CPEO, other mitochondrial diseases",,,Significantly elevated,,,,,,,,,
MARESCA2020,Maresca A,2020,Prospective cohort,Creatine,,,Serum,Enzymatic assay,,,,,,,,,,,,,Individual study,8.5,123.0,Not specified,Mixed pediatric and adult,"MELAS, MERRF, LHON, CPEO, other mitochondrial diseases",,,Moderately elevated,,,,,,,,,
SHAYOTA2024_REVIEW,Shayota BJ,2024,Systematic review,Lactate,27.0,935.0,"Blood, CSF",Various enzymatic methods,,,,,,,,,,,,,Systematic review,9.0,,,,,,,,,,15.1,100.0,83.0,100.0,,,13.0
SHAYOTA2024_REVIEW,Shayota BJ,2024,Systematic review,GDF-15,17.0,785.0,"Blood, CSF",ELISA,,,,,,,,,,,,,Systematic review,9.0,,,,,,,,,,66.0,97.9,64.0,97.0,0.69,0.99,14.0
SHAYOTA2024_REVIEW,Shayota BJ,2024,Systematic review,FGF-21,22.0,1217.0,Blood,ELISA,,,,,,,,,,,,,Systematic review,9.0,,,,,,,,,,20.0,82.8,57.5,97.2,0.75,0.97,18.0
SUOMALAINEN2011,Suomalainen A,2011,Case-control,FGF-21,,,Serum,ELISA,65.7,,,100.0,,,0.85,,,,,,Individual study,8.0,67.0,67,Adult (mean 45Â±16 years),Muscle-manifesting mitochondrial diseases,350.0,<0.001,5.1,523.0,102.0,,,,,,,
MONTERO2016,Montero R,2016,Case-control,GDF-15,,,Serum,ELISA,70.6,,,86.3,,,0.82,,,,,,Individual study,7.5,51.0,51,Pediatric (0.1-17.9 years),Various mitochondrial diseases,1200.0,<0.001,,1891.0,444.0,,,,,,,
YATSUGA2015,Yatsuga S,2015,Case-control,GDF-15,,,Serum,ELISA,74.0,,,90.0,,,0.89,,,,,,Individual study,8.5,96.0,100,Mixed (1-78 years),Various mitochondrial diseases,1800.0,<0.001,,2850.0,550.0,,,,,,,
YATSUGA2015,Yatsuga S,2015,Case-control,FGF-21,,,Serum,ELISA,72.9,,,85.0,,,0.84,,,,,,Individual study,8.5,96.0,100,Mixed (1-78 years),Various mitochondrial diseases,200.0,<0.001,,389.0,89.0,,,,,,,
DAVIS2013,Davis RL,2013,Case-control,FGF-21,,,Serum,ELISA,68.4,,,84.3,,,0.81,,,,,,Individual study,7.0,76.0,83,Mixed pediatric and adult,Various mitochondrial diseases,350.0,<0.001,,,,,,,,,,
DAVIS2013,Davis RL,2013,Case-control,Lactate,,,Serum,Enzymatic,30.3,,,95.2,,,0.63,,,,,,Individual study,7.0,76.0,83,Mixed pediatric and adult,Various mitochondrial diseases,2.2,<0.05,,,,,,,,,,
DAVIS2013,Davis RL,2013,Case-control,Creatine kinase,,,Serum,Enzymatic,25.0,,,90.4,,,0.58,,,,,,Individual study,7.0,76.0,83,Mixed pediatric and adult,Various mitochondrial diseases,,NS,,,,,,,,,,
KOENE2014,Koene S,2014,Case-control,GDF-15,,,Serum,ELISA,80.0,,,85.7,,,0.88,,,,,,Individual study,8.0,70.0,70,Adult (18-75 years),Various mitochondrial diseases,1200.0,<0.001,,,,,,,,,,
