Subject,Condition Name,Biomarkers Found,Performance Metrics,Cohort Details,Biomaterials,Analytical Methods,Key Studies,Clinical Applications,Error
NARP (Neuropathy Ataxia Retinitis Pigmentosa),Neuropathy Ataxia Retinitis Pigmentosa (NARP),"FGF21 (protein), GDF-15 (protein), ccf-mtDNA (cell-free mitochondrial DNA), Creatine (metabolite), Alanine (metabolite), Lactic Acid (metabolite), Citrulline (metabolite)","FGF21 sensitivity and specificity for MD group were 41% (95% CI 30–53%) and 92% (95% CI 81–103%), with a cut-off of 1947 pg/ml. (Maresca et al., 2020); GDF-15 sensitivity and specificity for MD group were 89% (95% CI 81–96%) and 92% (95% CI 81–103%). (Maresca et al., 2020); ccf-mtDNA (MT-ND2 assay) sensitivity and specificity for MD patients were 25% (95% CI 17–34%) and 94% (95% CI 86–102%). (Maresca et al., 2020); AUC for FGF21 was 0.75 (95% CI 0.65–0.85, p < 0.01) in MD and 0.89 (95% CI 0.80–0.98, p < 0.0001) in MELAS/MERRF. (Maresca et al., 2020); AUC for GDF-15 was 0.96 (95% CI 0.93–0.99, p < 0.0001) in MD and 0.99 (95% CI 0.98–1.00, p < 0.0001) in MELAS/MERRF. (Maresca et al., 2020); Creatine sensitivity and specificity for mitochondrial disease patients were 39% (95% CI 28–50%) and 93% (95% CI 84–102%). AUC was 0.62 (95% CI 0.51–0.73, p = 0.06). (Maresca et al., 2020)","Maresca et al., 2020 study: 123 mitochondrial patients with prominent neurological and muscular manifestations. Included MELAS, MERRF, NARP, LHON, CPEO/SANDO, and other mtDNA genetic defects (MDD) and nuclear DNA genetic defects (NDD) groups. Controls also included. (Human studies, adult and pediatric not explicitly separated but implied by cohort description). NORD article mentions NARP typically manifests in childhood, but also discusses adult presentations.","Plasma, Serum, Cerebrospinal fluid (CSF), Blood","MT-ND2 assay for ccf-mtDNA; Genetic testing for MT-ATP6 gene mutations; Complete blood count, urinalysis, lumbar puncture; Magnetic resonance imaging (MRI) and computerized tomography (CT) of the brain; Electrocardiogram and echocardiogram; Electromyography and nerve conduction studies; Electroencephalogram","Maresca, A., Del Dotto, V., Romagnoli, M., La Morgia, C., Di Vito, L., Capristo, M., ... & Carelli, V. (2020). Expanding and validating the biomarkers for mitochondrial diseases. Journal of Molecular Medicine, 98(10), 1437-1449. Holt, I J et al. “A new mitochondrial disease associated with mitochondrial DNA heteroplasmy.” American journal of human genetics vol. 46,3 (1990): 428-33. Juaristi L, Irigoyen C, Quiroga J. NEUROPATHY, ATAXIA, AND RETINITIS PIGMENTOSA SYNDROME: A MULTIDISCIPLINARY DIAGNOSIS. Retin Cases Brief Rep. 2018 Oct 19. doi: 10.1097/ICB.0000000000000835. Epub ahead of print. PMID: 30346353.",Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood,
Pearson syndrome,Pearson syndrome,Carnitine (metabolite); Fumarate (metabolite); Alanine (amino acid); Arginine (amino acid); Lactate (metabolite); 3-hydroxybutyrate (metabolite); Lactate:Pyruvate ratio (metabolite); Citrulline (amino acid); 3-methylglutaconic acid (metabolite); Malic acid (metabolite),"SLSMDs detection: high specificity; Pyruvate: Sensitivity 34.6-88.2%, Specificity 81.2-87.2%; Lactate:Pyruvate ratio: Sensitivity 11.5-82.4%, Specificity 68.7-100%; CSF Lactate:Pyruvate ratio: Sensitivity 76.5%, Specificity 90.6%; SLSMDs detection: high sensitivity in blood and bone marrow samples; CSF Pyruvate: Sensitivity 88.2%, Specificity 100%","Cohorts of fewer than 150 cases worldwide; Autopsy reports: high loads of deleted mtDNA (>70–80%) across multiple tissues; Mixed cohorts of various mitochondrial diseases, some with MELAS-specific bias",Bone marrow; Urinary epithelial cells; CSF; Buccal swabs; Urine; Serum; Blood; Peripheral blood,Long-range PCR; Next-generation sequencing of mitochondrial genome; Southern blot,"Yoshimi, A., Ishikawa, K., Niemeyer, C., & Grünert, S. C. (2022). Pearson syndrome: a multisystem mitochondrial disease with bone marrow failure. Orphanet Journal of Rare Diseases, 17(1), 379.; Shayota, B. J. (2024). Biomarkers of mitochondrial disorders. Neurotherapeutics.","Monitoring (mtDNA proportion changes with hematological recovery/disease progression); Diagnostic (SLSMDs detection, metabolite pattern for differential diagnosis)",
MIDD (Maternally Inherited Diabetes and Deafness),Maternally Inherited Diabetes and Deafness (MIDD),"Glucose, galactose, mannose, sorbose, maltose (carbohydrates); 2-Hydroxybutyric acid, eicosapentaenoic acid, octadecanoic acid (fatty acids); alanine, threonic acid, cholesterol, lactic acid, gluconic acid, threonine, tryptophan, histidine, proline, glutamine, creatine, citrulline, 3-Amino-2-piperidone, ornithine, arachidonic acid, malic acid, succinic acid (other metabolites/amino acids).","Not explicitly stated in terms of sensitivity/specificity for individual biomarkers, but the study identified a ""specific metabolic profile"" for MIDD.","MIDD (n=14), LADA (n=14), Type 2 Diabetes Mellitus (n=14), Healthy Controls (n=14). All groups matched for gender and age. Human subjects. All MIDD patients carried the mitochondrial DNA 3243 A>G mutation and had sensorineural hearing loss.
161 patients with 21 different mitochondrial mutations. Most common mutation was m.3243A>G (136 cases). 142 patients had family histories of diabetes or hearing loss. Age at onset of diabetes and hearing loss varied. BMI data available for 101 patients (mean 19.41 kg/m²). Both male (39.75%) and female (60.25%) patients included. Asian, European, North American, South American, and African/Oceania populations represented.",Serum,Gas chromatography-time of flight mass spectrometry (GC-TOFMS),"Cao, B., Lu, H., Liu, P., Zhang, Y., & Wang, C. (2025). Serum metabolomics signature of maternally inherited diabetes and deafness by gas chromatography–time of flight mass spectrometry. Journal of Diabetes Investigation.","Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",
MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy),Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE),"Circulating microRNAs (miRNAs). Specifically, five plasma miRNAs (miR-192-5p, miR-193a-5p, miR-194-5p, miR-215-5p, and miR-34a-5p) and three serum miRNAs (miR-192-5p, miR-194-5p, and miR-34a-5p) were identified.",ROC curve analysis was used to evaluate sensitivity and specificity. miR-34a-5p showed an AUC of 0.977.,"Four study phases: discovery (n=10 patients, n=10 controls), candidate screening (n=20 patients, n=20 controls), validation (n=35 patients, n=35 controls), and performance (4 patients treated with EE-TP). Cohorts included age and sex matched healthy controls. Age ranges for serum samples: <=19 years (4 males, 2 females; mean age 11.3 +/- 4.6 years), 20-29 years (3 males, 2 females; mean age 23.3 +/- 2.6 years), >=30 years (5 males, 1 female; mean age 39.0 +/- 11.1 years). Age ranges for plasma samples: <=19 years (0 male, 4 females; mean age 17.0 +/- 1.4 years), 20-29 years (4 males, 5 females; mean age 24.4 +/- 2.6 years), >=30 years (3 males, 2 females; mean age 36.2 +/- 4.4 years).",Plasma and serum samples.,"RT-qPCR for miRNA profiling, next generation sequencing (NGS) for candidate screening, differential expression analysis, ROC curve analysis.","""Circulating miRNAs as Biomarkers for Mitochondrial Neuro-Gastrointestinal Encephalomyopathy"" by Mencias, M., Levene, M., Blighe, K., & Bax, B. E. (2021). International Journal of Molecular Sciences, 22(7), 3681. DOI: 10.3390/ijms22073681.",The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.,
Friedreich ataxia,Friedreich ataxia mitochondrial disease,"Cardiac Biomarkers: LVMI (protein), LVEF (protein), IVS (protein), LVPW (protein), FS (protein), NT-Pro BNP (protein), ST2 (protein), troponin (protein), Echocardiogram (imaging). Biochemical Biomarkers: Erythrocyte protoporphyrin IX (metabolite), Urinary 8OH2'dG (metabolite), Antioxidants (metabolite), plasma malondialdehyde (metabolite), plasma DHBA (metabolite), Mitochondrial FXN (protein), urine F2-isoprostane (metabolite), follistatin (protein), myostatin (protein), FXN levels (protein), serum peroxides (metabolite), FXN mRNA expression (nucleic acid), FXN concentration (protein), NADH/NAD ratio (metabolite), PBMC FXN levels (protein).","FARS/mFARS: SMD = -0.32 (-0.62 to -0.02) following drugs that augment mitochondrial function (statistically significant improvement). LVMI: SMD = -0.34 (-0.5 to -0.18) after 28.5 months of treatment with drugs that augment mitochondrial function (improved significantly). LVEF (drugs that increase frataxin): SMD = -0.13, 95% CI -0.44 to 0.18, p = 0.4, I^2 = 26% (stable). ADLs (drugs that augment mitochondrial function): SMD = 0.11, 95% CI -0.21 to 0.43, p = 0.5, I^2 = 66% (stable). Frataxin levels (drugs that increase frataxin): SMD = -0.01, 95% CI -0.52 to 0.49, p = 0.96, I^2 = 74% (no significant difference).","Total studies included: 43; Total FRDA patients: 1409; Follow-up: Minimum 2 months. Age groups: Not explicitly specified as pediatric/adult for each study, but the systematic review includes a broad range of studies.","Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.","Not explicitly detailed for each biomarker in the tables, but the study is a systematic review of various clinical trials, implying a range of methods. For cardiac biomarkers, echocardiogram parameters were used. For biochemical biomarkers, various assays were used to measure the specific molecules.","Arpa 2014, Buys 2003, NINDS cohort, MOXIE Study, Innsbruck RhuEPO cohort, Lynch 2019, Saccà 2011, 2016, Yiu 2015, Costantini 2016, Patel 2019, Sanz-Gallego 2014, Wang 2021.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,
POLG-related disorders,"POLG-related mitochondrial disease, specifically POLG-related epilepsy.","Elevated cerebrospinal fluid (CSF) protein, raised CSF/serum ratio of albumin (Q-alb ratio). Molecular type: protein, albumin.",Raised CSF protein found in 70% of patients (n = 58/83). Q-alb ratio was markedly elevated in those measured (n = 18). Raised CSF protein was associated with more severe phenotypes and poorer outcome (median survival 13 months vs 32 months).,"Retrospective study of 83 patients with pathogenic POLG mutations from Norway, Sweden, Finland, and the United Kingdom. 70% of patients (58/83) had raised CSF protein. 76% of patients with epilepsy (50/66) had raised CSF protein. CSF protein preceded seizure debut in 75% (15/20) of cases. Median survival time from symptom onset for those with raised CSF protein was 13 months, compared to 32 months for those with normal CSF protein.","Cerebrospinal fluid (CSF), serum.",Measurement of cerebrospinal fluid (CSF) protein and CSF/serum ratio of albumin (Q-alb ratio).,"Hikmat, O., Naess, K., Engvall, M., Klingenberg, C., Rasmussen, M., Tallaksen, C. M. E., Brodtkorb, E., Fiskerstrand, T., Isohanni, P., Uusimaa, J., Darin, N., Rahman, S., & Bindoff, L. A. (2018). Elevated cerebrospinal fluid protein in POLG‐related epilepsy: Diagnostic and prognostic implications. Epilepsia, 59(8), 1595-1602.",Early diagnosis and identification of patients at high risk of developing epilepsy in POLG-related disease. Prognostic implications (poorer outcome associated with blood-brain barrier dysfunction).,
MDS (Mitochondrial DNA Depletion Syndrome),Mitochondrial DNA Depletion Syndrome (MDS),"Lactate (molecular type: metabolic acid), Pyruvate (molecular type: metabolic acid), Lactate:Pyruvate ratio (molecular type: metabolic ratio), Creatine Kinase (CK) (molecular type: enzyme), Creatine (molecular type: amino acid derivative), Amino Acids (molecular type: amino acids), Glutathione (molecular type: tripeptide), Malondialdehyde (molecular type: lipid peroxidation product), GDF-15 (molecular type: cytokine), FGF-21 (molecular type: hormone), Gelsolin (molecular type: protein), Neurofilament light-chain (molecular type: protein), Circulating cell-free mtDNA (molecular type: nucleic acid), GDF-15 (for TK2 deficiency, molecular type: cytokine), Methylmalonic aciduria (for SUCLA2 deficiency, molecular type: organic acid), No specific biofluid biomarkers found for RRM2B deficiency","Lactate:Pyruvate ratio (CSF): Sensitivity 76.5%, Specificity 90.6%; GDF-15: Potential biomarker of disease severity and therapeutic response; Creatine Kinase: Sensitivity 22.2-34.1%, Specificity 73.0-97.0%; Lactate:Pyruvate ratio: Sensitivity 11.5-82.4%, Specificity 68.7-100%; Methylmalonic aciduria (for SUCLA2 deficiency): Biochemical marker; Lactate: Sensitivity 15.1-100%, Specificity 83.0-100%; Alanine: Highly specific for mitochondrial disease (elevated levels > 450 µM); Pyruvate: Sensitivity 34.6-88.2%, Specificity 81.2-87.2%",Gelsolin: 9 plasma samples; Neurofilament light-chain: 24 serum samples; Glutathione: 25 erythrocyte samples; Lactate:Pyruvate ratio: 195 blood samples; Glutathione: 11 plasma samples; Circulating cell-free mtDNA: 35 serum samples; GDF-15: various serum and CSF samples (pediatric and adult); Creatine Kinase: 196 blood samples; SUCLA2 Deficiency: pediatric patients; Creatine: 132 blood samples; Circulating cell-free mtDNA: 24 plasma samples; Lactate: 935 blood samples; Malondialdehyde: 11 plasma samples; TK2 Deficiency: pediatric and adult patients; Neurofilament light-chain: 22 CSF samples; Lactate: 204 CSF samples; Lactate:Pyruvate ratio: 17 CSF samples; Pyruvate: 185 blood samples; Glutathione: 20 lymphocyte samples; Circulating cell-free mtDNA: 18 CSF samples; Malondialdehyde: 4 erythrocyte samples; Gelsolin: 56 plasma samples; Pyruvate: 17 CSF samples; FGF-21: various serum samples (pediatric and adult),"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","ELISA, Biochemical assay, Genetic testing, Imaging techniques like magnetic resonance spectroscopy, Next-generation sequencing","Biomarkers of mitochondrial disorders (review article); Mitochondrial DNA Depletion Syndromes: Review and Updates of Genetic Basis, Manifestations, and Therapeutic Options (review article); Growth Differentiation Factor 15 is a potential biomarker of therapeutic response for TK2 deficient myopathy; SUCLA2-Related Mitochondrial DNA Depletion Syndrome","Diagnostic, Monitoring",
CoQ10 deficiency,CoQ10 deficiency mitochondrial disease,"Coenzyme Q10 (CoQ10) levels (lipid, metabolite)","The first article mentions for childhood-onset cerebellar ataxia: 'Partial CoQ10 deficiency was documented in muscle and in most fibroblasts (9/11) and lymphoblasts (2/3)'. The second article mentions 'Although CoQ can be measured in plasma and white blood cells, you cannot use it for the diagnosis of mitochondrial diseases since CoQ content in plasma and white blood cells is often not decreased in these conditions.' No specific sensitivity, specificity, or AUC values were found in the provided text.","Information not explicitly detailed in the provided text for specific studies, but mentions 'childhood-onset cerebellar ataxia' and 'infantile multisystemic form', indicating both pediatric and adult studies are relevant. Muscle biopsies from patients and healthy controls are mentioned.","Skeletal muscle, dermal skin fibroblasts, lymphocytes, plasma, urine","HPLC with electrochemical detection (ECD) or UV-vis detectors, mass spectrometry. Also, procedures to determine CoQ10 biosynthesis rate using labeled precursors.","Ogasahara S et al. (1989) Proc Natl Acad Sci U S A; Sobreira C et al. (1997) Neurology; Boitier E et al. (1998) Neuromuscul Disord; Di Giovanni S et al. (2001) Neurology; Aure K et al. (2004) Ann Neurol; Musumeci S et al. (2001) Neurology; Lamperti C et al. (2003) Neurology; Gironi M et al. (2004) Neurology; Artuch R et al. (2006) Neurology; Lagier-Tourenne C et al. (2008) Neurology; Mollet J et al. (2008) Am J Hum Genet; Quinzii C et al. (2005) Arch Neurol; Le Ber I et al. (2007) Arch Neurol; Reynolds JJ et al. (2009) Arch Neurol; Rötig A et al. (2000) Am J Hum Genet; Lopez LC et al. (2006) Arch Neurol; Diomedi-Camassei F et al. (2007) J Am Soc Nephrol; Turunen M et al. (2004) Mol Aspects Med; Kawamukai M. (2009) Biosci Biotechnol Biochem; Tran U, Clarke CF. (2007) Prog Lipid Res; Tauche S et al. (2008) J Biol Chem; Iiizumi S et al. (2002) J Biol Chem.","Diagnosis, monitoring treatment response, potential for screening (though plasma/white blood cell levels are not reliable for diagnosis)",
TK2d (Thymidine Kinase 2 Deficiency),Thymidine Kinase 2 Deficiency (TK2d),"FGF-21 (protein), GDF-15 (protein)","For general mitochondrial disorders (meta-analysis): FGF-21: Sensitivity: 0.71 (95% CI 0.53 to 0.84), Specificity: 0.88 (95% CI 0.82 to 0.93), AUC: 0.90 (95% CI 0.87 to 0.92). GDF-15: Sensitivity: 0.83 (95% CI 0.65 to 0.92), Specificity: 0.92 (95% CI 0.84 to 0.96), AUC: 0.94 (95% CI 0.92 to 0.96). For TK2d: GDF-15 concentrations decrease significantly following deoxynucleoside treatment. FGF-21 showed a similar trend but less consistent. Basal concentrations of GDF-15 and FGF-21 negatively correlated with age of onset/treatment initiation. Pre-treatment GDF-15 levels negatively associated with 6MWT and BMI.","TK2d specific: 24 patients with TK2d (pediatric and adult) treated with oral deoxynucleosides for 1-49 months. General mitochondrial disorders (meta-analysis): FGF-21: 5 studies, 718 participants (339 patients and 379 healthy controls); GDF-15: 7 studies, 845 participants (439 patients and 406 healthy controls).","Serum, Muscle tissue","ELISA or similar immunoassays for protein biomarkers (implied), general laboratory findings for CK, lactate, etc.","Hirano M, Marti R, Ferreiro-Barros C, Vila MR, Tadesse S, Nishigaki Y, et al. Defects of mitochondrial DNA maintenance. J Neuromuscul Dis. 2022;9(1):1–17.; Garone C, et al. Clinical and genetic analysis of patients with TK2 deficiency. Neurology Genetics. 2024 Mar 25;10(2):e200138.; Lin Y, Ji K, Ma X, Liu S, Li W, Zhao Y, Yan C. Accuracy of FGF‐21 and GDF‐15 for the diagnosis of mitochondrial disorders: A meta‐analysis. Ann Clin Transl Neurol. 2020 Jun 25;7(7):1204-1213.; Domínguez-González, C., Badosa, C., Madruga-Garrido, M., et al. (2020). Growth Differentiation Factor 15 is a potential biomarker of therapeutic response for TK2 deficient myopathy. Scientific Reports, 10(1), 10111.","Diagnostic (general mitochondrial disorders), Monitoring therapeutic response to deoxynucleoside treatment (TK2d), Indicators of disease severity (TK2d)",
mtARS (Mitochondrial Aminoacyl-tRNA Synthetase disorders),Mitochondrial Aminoacyl-tRNA Synthetase Deficiency (mtARS deficiency),Fibroblast Growth Factor 21 (FGF21) - Hormone,Serum FGF21 Levels: Case Group: 882.49 ± 923.60 pg/mL; Control Group: 20.89 ± 2.63 pg/mL (p<0.001). ROC Curve AUC: 0.933 (0.786-0.962). Sensitivity: 100% for FGF21 > 27.4 pg/mL cut-off value. Specificity: 100% for FGF21 > 27.4 pg/mL cut-off value. Positive Predicted Value: 100%. Negative Predicted Value: 100%.,"Case Group: 6 patients with mitochondrial aminoacyl tRNA synthetase deficiency; Control Group: 12 healthy volunteers. Molecular Diagnosis Method: Whole-exome sequencing revealed nine different pathogenic variants in the AARS2, EARS2, DARS2, SARS2, and WARS2 genes.",Serum,Enzyme-linked immunosorbent assay (ELISA),"ST Neijmann, D Gunes, M Karaca, V Karaman… - 2025 - preprints.org","Assessment of mitochondrial damage in mt-aARS deficiency, providing insight into the level of damage.",
Luft disease,Luft disease (nonthyroidal hypermetabolism),No specific biofluid biomarkers with molecular types were identified for Luft disease in the available literature.,"No performance metrics (sensitivity, specificity, AUC values) for biofluid biomarkers of Luft disease were found in the available literature.","Only two cases of Luft disease have been reported in literature. Both were female, sporadic, with negative family histories, and onset in adolescence. No specific cohort details (sample sizes, controls, age groups) for biofluid biomarker studies were found.",Not specified in available literature for biofluid biomarkers of Luft disease.,Not specified in available literature for biofluid biomarkers of Luft disease.,"Luft, R., Ikkos, D., Palmieri, G., Ernster, L., & Afzelius, B. (1962). A case of severe hypermetabolism of nonthyroid origin with a defect in the maintenance of mitochondrial respiratory control: a correlated clinical, biochemical, and morphological study. The Journal of Clinical Investigation, 41(9), 1776–1804.
DiMauro, S., Bonilla, E., Lee, C. P., Schotland, D. L., Scarpa, A., Conn, D., & Chance, B. (1976). Luft's disease: further biochemical and ultrastructural studies of skeletal muscle in the second case. Journal of the Neurological Sciences, 27(2), 217-232.","Due to the extreme rarity and limited research on biofluid biomarkers for Luft disease, specific clinical applications (diagnostic, screening, monitoring, or prognostic) based on biofluid biomarkers are not established.",
Primary mitochondrial myopathy,Primary mitochondrial myopathy,"Neurofilament light chain (NF-L) - protein
Fibroblast growth factor 21 (FGF-21) - protein
Growth and differentiation factor 15 (GDF-15) - protein","NF-L: Differentiates between patients with mtDNA point mutations and other groups with an Area Under the Curve (AUC) of 0.806. When compared to single deletions only, the AUC was 0.905.
FGF-21 and GDF-15: Significantly elevated in patients with single mtDNA deletion and high in those with significant muscle involvement.","26 patients with genetically confirmed mitochondrial disorder.
All patients were adults, apart from one aged 14 years.
Mean age: 48.2 years (SD: 17.8).
Genetic diagnoses included mtDNA point mutations (8 patients), single deletions (6 patients), and nuclear gene mutations (12 patients).",Serum,"FGF-21 and GDF-15: Enzyme-linked immunosorbent assay (ELISA)
NF-L: Simoa assay","Varhaug, K. N., Hikmat, O., Nakkestad, H. L., Vedeler, C. A., & Bindoff, L. A. (2021). Serum biomarkers in primary mitochondrial disorders. Brain Communications, 3(1), fcaa222. [https://pmc.ncbi.nlm.nih.gov/articles/PMC7811758/]
Disanto, G., Barro, C., Benkert, P., Naegelin, Y., Schädeli, S., Giardiello, A., et al. (2017). Serum neurofilament light: a biomarker of neuronal damage in multiple sclerosis. Annals of Neurology, 81(6), 857-870.
Engelsen, B. A., Tzoulis, C., Karlsen, B., Lillebø, A., Laegreid, L. M., Aasly, J., et al. (2008). POLG1 mutations cause a syndromic epilepsy with occipital lobe predilection. Brain, 131(8), 2128-2138.
Ng, Y. S., Bindoff, L. A., Gorman, G. S., Horvath, R., Klopstock, T., Mancuso, M., et al. (2019). Consensus-based statements for the management of mitochondrial stroke-like episodes. Wellcome Open Research, 4, 201.
Sofou, K., Shahim, P., Tulinius, M., Blennow, K., Zetterberg, H., Mattsson, N., et al. (2019). Cerebrospinal fluid neurofilament light is associated with survival in mitochondrial disease patients. Mitochondrion, 46, 228-235.
Suomalainen, A., Elo, J. M., Pietiläinen, K. H., Hakonen, A. H., Sevastianova, K., Korpela, M., et al. (2011). FGF-21 as a biomarker for muscle-manifesting mitochondrial respiratory chain deficiencies: a diagnostic study. Lancet Neurology, 10(9), 806-818.
Yatsuga, S., Fujita, Y., Ishii, A., Fukumoto, Y., Arahata, H., Kakuma, T., et al. (2015). Growth differentiation factor 15 as a useful biomarker for mitochondrial disorders. Annals of Neurology, 78(5), 814-823.
Montero, R., Yubero, D., Villarroya, J., Henares, D., Jou, C., Rodríguez, M. A., et al. (2016). GDF-15 is elevated in children with mitochondrial diseases and is induced by mitochondrial dysfunction. PLoS One, 11(1), e0148709.
Maresca, A., Del Dotto, V., Romagnoli, M., La Morgia, C., Di Vito, L., Capristo, M., et al. (2020). Expanding and validating the biomarkers for mitochondrial diseases. Journal of Molecular Medicine, 98(10), 1467-1478.
Mancuso, M., McFarland, R., Klopstock, T., Hirano, M., Artuch, R., Bertini, E., et al. (2020). Outcome measures and clinical trial readiness in primary mitochondrial myopathies in children and adults. Neuromuscular Disorders, 30(1), 1126-1137.","Diagnostic tool for mitochondrial disease.
Monitoring disease activity and progression (NF-L).
Identifying muscle involvement (FGF-21 and GDF-15).
Narrowing the choice of diagnostic tests in suspected mitochondrial disease.",
